City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,299.08,72,100,2.6,PF,1675467092
1,port alfred,-33.5906,26.891,293.81,92,50,1.34,ZA,1675467092
2,guerrero negro,27.9769,-114.0611,292.47,36,100,3.69,MX,1675466801
3,tuatapere,-46.1333,167.6833,301.36,40,1,2.85,NZ,1675467093
4,new norfolk,-42.7826,147.0587,288.1,88,100,0.89,AU,1675467094
5,bundaberg,-24.85,152.35,304.94,64,81,1.79,AU,1675467094
6,along,28.1667,94.7667,283.69,59,10,0.8,IN,1675467095
7,mataura,-46.1927,168.8643,302.54,41,5,1.75,NZ,1675467095
8,dikson,73.5069,80.5464,256.72,96,100,0.62,RU,1675467095
9,bulungu,-4.55,18.6,295.16,78,15,1.0,CD,1675467096
10,nome,64.5011,-165.4064,257.19,92,100,0.0,US,1675467081
11,muli,2.9167,73.5667,299.69,69,100,5.35,MV,1675467096
12,el sauzal,31.9,-116.6833,289.49,70,57,3.31,MX,1675467097
13,kodiak,57.79,-152.4072,274.88,69,75,4.63,US,1675467097
14,bambous virieux,-20.3428,57.7575,298.29,94,75,1.54,MU,1675467098
15,souillac,-20.5167,57.5167,298.36,94,75,1.54,MU,1675466863
16,usinsk,65.9939,57.5281,260.77,96,97,4.61,RU,1675467019
17,geraldton,-28.7667,114.6,302.38,24,73,6.17,AU,1675467098
18,iqaluit,63.7506,-68.5145,238.0,66,0,5.66,CA,1675467099
19,barrow,71.2906,-156.7887,248.16,77,75,7.72,US,1675467099
20,cenade,46.0587,24.0089,272.99,96,100,3.99,RO,1675467099
21,vaini,-21.2,-175.2,300.24,89,100,5.66,TO,1675467100
22,tasiilaq,65.6145,-37.6368,270.24,84,100,5.87,GL,1675467100
23,alofi,-19.0595,-169.9187,297.09,100,100,2.06,NU,1675467101
24,abalak,58.1286,68.5944,254.49,99,84,1.37,RU,1675466937
25,kupang,-10.1667,123.5833,297.47,94,75,6.17,ID,1675466920
26,cape town,-33.9258,18.4232,292.65,73,0,5.14,ZA,1675467101
27,kinshasa,-4.3246,15.3215,299.36,83,35,2.57,CD,1675467102
28,cidreira,-30.1811,-50.2056,297.35,86,100,1.74,BR,1675466859
29,manzhouli,49.6,117.4333,250.15,98,66,2.53,CN,1675467102
30,conde,-7.2597,-34.9075,299.85,78,20,2.06,BR,1675467102
31,bluff,-46.6,168.3333,294.09,76,4,3.34,NZ,1675467103
32,georgetown,5.4112,100.3354,298.12,98,20,0.0,MY,1675467103
33,hilo,19.7297,-155.09,301.64,74,75,4.12,US,1675467018
34,puerto ayora,-0.7393,-90.3518,300.12,87,82,4.02,EC,1675467104
35,nikolskoye,59.7035,30.7861,268.59,96,100,2.58,RU,1675467104
36,leningradskiy,69.3833,178.4167,241.2,99,100,0.63,RU,1675466869
37,wahiawa,21.5028,-158.0236,298.33,78,100,1.54,US,1675466973
38,dingle,10.9995,122.6711,297.85,88,100,4.64,PH,1675467105
39,jefferson city,38.5767,-92.1735,274.1,23,0,3.6,US,1675467105
40,aklavik,68.2191,-135.0107,236.15,74,40,0.0,CA,1675466883
41,santa cruz,-17.8,-63.1667,297.18,88,40,2.06,BO,1675467008
42,tanout,14.9709,8.8879,294.36,18,50,4.47,NE,1675467106
43,busselton,-33.65,115.3333,296.54,47,3,5.49,AU,1675467106
44,ushuaia,-54.8,-68.3,285.96,50,40,9.26,AR,1675467107
45,narsaq,60.9167,-46.05,263.27,71,71,5.17,GL,1675466821
46,sao filipe,14.8961,-24.4956,294.81,70,95,5.76,CV,1675467107
47,dinard,48.6314,-2.0614,282.36,76,100,2.06,FR,1675467107
48,jamestown,42.097,-79.2353,260.92,90,100,7.72,US,1675467055
49,bambari,5.768,20.6757,298.55,20,6,0.86,CF,1675467108
50,avera,33.194,-82.5271,283.88,60,0,2.8,US,1675467108
51,severo-kurilsk,50.6789,156.125,271.06,85,99,4.58,RU,1675467109
52,johnstown,40.3267,-78.922,262.47,59,100,6.69,US,1675467109
53,vanavara,60.34,102.2797,244.7,100,87,1.17,RU,1675467109
54,kuching,1.55,110.3333,299.27,90,40,0.89,MY,1675466917
55,vallenar,-28.5708,-70.7581,296.39,51,1,2.09,CL,1675467110
56,maldonado,-34.6667,-54.9167,294.81,79,84,3.35,UY,1675467110
57,kruisfontein,-34.0033,24.7314,294.2,90,56,2.24,ZA,1675467110
58,jumilla,38.4792,-1.325,279.0,54,0,0.54,ES,1675467111
59,ransang,8.9603,117.5828,299.45,76,90,2.34,PH,1675467111
60,tiksi,71.6872,128.8694,237.26,100,91,0.28,RU,1675467112
61,soyo,-6.1349,12.3689,300.36,83,94,4.78,AO,1675467112
62,henties bay,-22.116,14.2845,290.66,86,64,2.41,NA,1675467112
63,plouzane,48.3833,-4.6167,281.33,74,100,0.51,FR,1675467113
64,harper,4.375,-7.7169,299.52,85,9,3.33,LR,1675467113
65,hobart,-42.8794,147.3294,288.29,87,75,4.63,AU,1675467099
66,mwene-ditu,-7.0,23.45,291.57,96,99,1.54,CD,1675467114
67,kapaa,22.0752,-159.319,297.3,82,100,6.69,US,1675467114
68,betioky,-23.7167,44.3833,295.2,88,65,2.31,MG,1675467115
69,yellowknife,62.456,-114.3525,249.57,70,75,2.57,CA,1675467115
70,butaritari,3.0707,172.7902,300.7,77,5,8.29,KI,1675466774
71,lamar,33.6668,-95.5836,284.1,56,0,1.54,US,1675467115
72,borborema,-21.6197,-49.0736,294.98,96,100,1.34,BR,1675467116
73,pisco,-13.7,-76.2167,297.18,83,0,8.23,PE,1675466818
74,hamilton,39.1834,-84.5333,268.84,54,20,5.14,US,1675467116
75,tuktoyaktuk,69.4541,-133.0374,232.15,66,75,0.0,CA,1675467117
76,kita,13.0349,-9.4895,298.19,14,97,2.7,ML,1675467117
77,albany,42.6001,-73.9662,256.28,57,87,4.02,US,1675467097
78,punta arenas,-53.15,-70.9167,289.21,41,0,13.38,CL,1675466732
79,eyrarbakki,63.863,-21.1481,276.18,74,97,16.05,IS,1675467118
80,sao felix do xingu,-6.6447,-51.995,296.69,91,67,1.06,BR,1675467118
81,mildura,-34.2,142.15,290.97,65,0,6.3,AU,1675467062
82,solnechnyy,50.7214,136.6319,249.97,94,39,1.0,RU,1675467119
83,anaconda,46.1285,-112.9423,279.7,83,96,2.79,US,1675467119
84,khatanga,71.9667,102.5,239.24,100,84,1.8,RU,1675467120
85,la ronge,55.1001,-105.2842,263.29,79,100,3.09,CA,1675467120
